Classifier agreement with Mturk	Window size	Word frequency cut-off	Agreement when trained on EMEA	Agreement when trained on Medline
OptionAwareNaiveBayesLeftRightCutoff	8	4	0.530612	0.632653
OptionAwareNaiveBayesLeftRightCutoff	8	5	0.530612	0.653061
OptionAwareNaiveBayesLeftRightCutoff	8	6	0.510204	0.693878
OptionAwareNaiveBayesLeftRightCutoff	8	7	0.510204	0.714286
OptionAwareNaiveBayesLeftRightCutoff	8	8	0.530612	0.734694
OptionAwareNaiveBayesLeftRightCutoff	8	9	0.530612	0.734694
OptionAwareNaiveBayesLeftRightCutoff	9	1	0.551020	0.612245
OptionAwareNaiveBayesLeftRightCutoff	9	2	0.551020	0.632653
OptionAwareNaiveBayesLeftRightCutoff	9	3	0.551020	0.653061
OptionAwareNaiveBayesLeftRightCutoff	9	4	0.551020	0.693878
OptionAwareNaiveBayesLeftRightCutoff	9	5	0.530612	0.714286
OptionAwareNaiveBayesLeftRightCutoff	9	6	0.530612	0.714286
OptionAwareNaiveBayesLeftRightCutoff	9	7	0.510204	0.714286
OptionAwareNaiveBayesLeftRightCutoff	9	8	0.530612	0.693878
OptionAwareNaiveBayesLeftRightCutoff	9	9	0.530612	0.693878
OptionAwareNaiveBayesLeftRightStopWords	1	-	0.265306	0.469388
OptionAwareNaiveBayesLeftRightStopWords	2	-	0.469388	0.448980
OptionAwareNaiveBayesLeftRightStopWords	3	-	0.571429	0.571429
OptionAwareNaiveBayesLeftRightStopWords	4	-	0.530612	0.551020
OptionAwareNaiveBayesLeftRightStopWords	5	-	0.591837	0.632653
OptionAwareNaiveBayesLeftRightStopWords	6	-	0.510204	0.632653
OptionAwareNaiveBayesLeftRightStopWords	7	-	0.530612	0.612245
OptionAwareNaiveBayesLeftRightStopWords	8	-	0.530612	0.551020
OptionAwareNaiveBayesLeftRightStopWords	9	-	0.530612	0.632653
